,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
65,Brazil,2019,6/2/2019,Sao Paulo,Cruzeiro,1,1,-1,2.37,2.98,3.65,3,3,1.6405731523378602,0
66,Brazil,2019,6/2/2019,Atletico-MG,CSA,4,0,1,1.41,4.64,8.45,4,0,2.99526355996944,4
67,Brazil,2019,6/2/2019,Chapecoense-SC,Palmeiras,1,2,-1,6.2,3.54,1.68,4,4,1.13931034482759,0
68,Brazil,2019,6/2/2019,Internacional,Avai,2,0,1,1.44,4.3,8.84,7,2,2.8928462709284597,5
69,Brazil,2019,6/8/2019,Vasco,Internacional,2,1,1,3.12,3.14,2.53,3,0,1.4010934744268102,3
70,Brazil,2019,6/8/2019,Palmeiras,Athletico-PR,1,0,1,1.58,3.75,7.14,9,4,2.45867768595041,5
71,Brazil,2019,6/8/2019,Cruzeiro,Corinthians,0,0,-1,1.91,3.26,4.93,4,5,1.96236874236874,-1
72,Brazil,2019,6/8/2019,Gremio,Fortaleza,1,0,1,1.48,4.21,7.99,6,3,2.75720491803279,3
73,Brazil,2019,6/8/2019,Ceara,Bahia,0,0,-1,2.65,2.96,3.16,7,2,1.5283660130719001,5
74,Brazil,2019,6/9/2019,Avai,Sao Paulo,0,0,-1,3.1,2.91,2.75,2,3,1.41386925795053,-1
75,Brazil,2019,6/9/2019,CSA,Botafogo RJ,1,2,-1,3.11,2.99,2.67,2,1,1.4104770318021203,1
76,Brazil,2019,6/9/2019,Fluminense,Flamengo RJ,0,0,-1,5.0,3.67,1.78,4,3,1.1986422018348601,1
77,Brazil,2019,6/9/2019,Santos,Atletico-MG,3,1,1,1.75,3.81,4.98,5,4,2.15856655290102,1
78,Brazil,2019,6/11/2019,Goias,Chapecoense-SC,3,1,1,1.87,3.31,5.02,4,3,1.9947418967587,1
79,Brazil,2019,6/12/2019,Botafogo RJ,Gremio,0,1,-1,3.21,3.08,2.51,5,2,1.38296958855098,3
80,Brazil,2019,6/13/2019,Fortaleza,Cruzeiro,2,1,1,3.35,3.1,2.42,3,4,1.35905797101449,-1
81,Brazil,2019,6/13/2019,CSA,Flamengo RJ,0,2,-1,13.92,5.83,1.25,3,3,1.0293079096045201,0
82,Brazil,2019,6/13/2019,Internacional,Bahia,3,1,1,1.74,3.5,5.65,9,2,2.1612021857923502,7
83,Brazil,2019,6/13/2019,Santos,Corinthians,1,0,1,1.72,3.5,5.9,8,5,2.1968085106383,3
84,Brazil,2019,6/13/2019,Vasco,Ceara,1,0,1,2.2,3.21,3.71,5,3,1.7209682080924902,2
85,Brazil,2019,6/14/2019,Atletico-MG,Sao Paulo,1,1,-1,1.97,3.31,4.49,8,3,1.90537179487179,5
86,Brazil,2019,6/14/2019,Chapecoense-SC,Fluminense,1,1,-1,2.77,3.07,2.87,5,8,1.4833164983165,-3
87,Brazil,2019,6/14/2019,Goias,Athletico-PR,2,1,1,2.96,3.15,2.63,7,4,1.4333044982698997,3
88,Brazil,2019,6/14/2019,Palmeiras,Avai,2,0,1,1.26,5.33,16.58,10,2,4.03338201734368,8
89,Brazil,2019,7/13/2019,Fortaleza,Avai,2,0,1,2.03,3.07,4.54,5,2,1.8315111695138002,3
90,Brazil,2019,7/13/2019,Gremio,Vasco,2,1,1,1.57,3.92,6.44,7,2,2.43675675675676,5
91,Brazil,2019,7/13/2019,Bahia,Santos,0,1,-1,2.77,3.13,2.79,8,3,1.4751182432432401,5
92,Brazil,2019,7/13/2019,Sao Paulo,Palmeiras,1,1,-1,3.81,2.9,2.31,4,6,1.2857965451055702,-2
93,Brazil,2019,7/14/2019,Flamengo RJ,Goias,6,1,1,1.24,6.16,12.49,10,2,4.12538337801609,8
94,Brazil,2019,7/14/2019,Athletico-PR,Internacional,1,0,1,1.63,3.9,5.94,8,1,2.35426829268293,7
95,Brazil,2019,7/14/2019,Corinthians,CSA,1,0,1,1.37,4.36,12.39,2,0,3.2250985074626897,2
96,Brazil,2019,7/14/2019,Cruzeiro,Botafogo RJ,0,0,-1,1.68,3.69,5.87,4,3,2.26572175732218,1
97,Brazil,2019,7/14/2019,Chapecoense-SC,Atletico-MG,1,2,-1,2.51,3.16,3.13,6,5,1.57246422893482,1
98,Brazil,2019,7/16/2019,Fluminense,Ceara,1,1,-1,1.67,3.54,6.34,4,3,2.2716194331983797,1
99,Brazil,2019,7/20/2019,Vasco,Fluminense,2,1,1,2.43,3.21,3.21,6,9,1.605,-3
100,Brazil,2019,7/20/2019,Bahia,Cruzeiro,0,0,-1,1.67,3.72,5.92,8,5,2.28448132780083,3
101,Brazil,2019,7/20/2019,Ceara,Palmeiras,2,0,1,5.15,3.36,1.84,7,7,1.18892307692308,0
102,Brazil,2019,7/20/2019,CSA,Athletico-PR,0,4,-1,3.53,3.38,2.2,3,5,1.3326164874552,-2
103,Brazil,2019,7/20/2019,Internacional,Gremio,1,1,-1,2.29,2.92,3.92,12,3,1.67345029239766,9
104,Brazil,2019,7/21/2019,Botafogo RJ,Santos,0,1,-1,3.61,3.13,2.28,5,4,1.31911275415896,1
105,Brazil,2019,7/21/2019,Atletico-MG,Fortaleza,2,2,-1,1.51,4.29,6.88,9,3,2.6423634735899704,6
106,Brazil,2019,7/21/2019,Corinthians,Flamengo RJ,1,1,-1,3.1,2.92,2.71,3,5,1.40554174067496,-2
107,Brazil,2019,7/21/2019,Avai,Goias,0,0,-1,2.02,3.26,4.3,2,3,1.8542328042328,-1
108,Brazil,2019,7/23/2019,Sao Paulo,Chapecoense-SC,4,0,1,1.53,3.87,7.92,5,4,2.5996946564885497,1
109,Brazil,2019,7/27/2019,Palmeiras,Vasco,1,1,-1,1.47,4.05,8.75,12,3,2.7685546875,9
110,Brazil,2019,7/27/2019,Cruzeiro,Athletico-PR,0,2,-1,3.8,3.18,2.18,4,9,1.29335820895522,-5
111,Brazil,2019,7/27/2019,Fluminense,Sao Paulo,1,2,-1,2.49,3.14,3.18,5,4,1.57993670886076,1
112,Brazil,2019,7/27/2019,Internacional,Ceara,1,0,1,1.99,3.22,4.56,13,4,1.88730077120823,9
113,Brazil,2019,7/28/2019,Chapecoense-SC,Bahia,0,0,-1,2.81,3.04,2.87,7,3,1.4762774957698799,4
114,Brazil,2019,7/28/2019,Flamengo RJ,Botafogo RJ,3,2,1,1.4,4.75,8.49,16,3,3.0458836858006,13
115,Brazil,2019,7/28/2019,Santos,Avai,3,1,1,1.29,5.25,13.32,9,2,3.76575121163166,7
116,Brazil,2019,7/28/2019,Fortaleza,Corinthians,1,3,-1,2.53,2.96,3.31,7,5,1.5626156299840501,2
117,Brazil,2019,7/28/2019,Goias,Atletico-MG,0,0,-1,3.01,3.35,2.48,9,7,1.42504288164666,2
118,Brazil,2019,7/30/2019,CSA,Gremio,0,0,-1,5.91,3.64,1.68,3,4,1.14947368421053,-1
119,Brazil,2019,8/3/2019,Ceara,Fortaleza,2,1,1,2.31,2.98,3.75,9,5,1.66047548291233,4
120,Brazil,2019,8/3/2019,Fluminense,Internacional,2,1,1,1.92,3.35,4.67,6,1,1.95068578553616,5
121,Brazil,2019,8/4/2019,Santos,Goias,6,1,1,1.23,6.49,13.63,12,3,4.39655566600398,9
122,Brazil,2019,8/4/2019,Avai,Botafogo RJ,0,2,-1,2.31,2.96,3.77,2,5,1.6581277860326897,-3
123,Brazil,2019,8/4/2019,Bahia,Flamengo RJ,3,0,1,2.91,3.24,2.61,8,6,1.4455384615384599,2
124,Brazil,2019,8/4/2019,Atletico-MG,Cruzeiro,2,0,1,2.09,3.27,4.01,11,5,1.80119505494506,6
125,Brazil,2019,8/4/2019,Corinthians,Palmeiras,1,1,-1,3.76,2.77,2.45,4,7,1.30009578544061,-3
126,Brazil,2019,8/4/2019,Vasco,CSA,0,0,-1,1.6,3.73,6.8,8,0,2.4087369420702798,8
