,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
73,D1,17/10/15,Augsburg,Darmstadt,0,2,-1,1.8,3.5,4.75,3,4,2.01515151515152,-1,
74,D1,17/10/15,Ein Frankfurt,M'gladbach,1,5,-1,2.45,3.4,2.88,8,4,1.55923566878981,4,
75,D1,17/10/15,Hamburg,Leverkusen,0,0,-1,4.75,3.5,1.8,3,4,1.18867924528302,-1,
76,D1,17/10/15,Schalke 04,Hertha,2,1,1,1.75,3.75,4.75,5,3,2.09558823529412,2,
77,D1,17/10/15,Werder Bremen,Bayern Munich,0,1,-1,17,7,1.18,2,8,1.00977995110024,-6,
78,D1,17/10/15,Wolfsburg,Hoffenheim,4,2,1,1.62,4.33,5,8,5,2.32047159699893,3,
79,D1,18/10/15,FC Koln,Hannover,0,1,-1,1.95,3.5,4,5,3,1.86666666666667,2,
80,D1,18/10/15,Stuttgart,Ingolstadt,1,0,1,1.8,3.75,4.33,3,4,2.00959158415842,-1,
81,D1,23/10/15,Hoffenheim,Hamburg,0,1,-1,2.1,3.6,3.4,5,5,1.74857142857143,0,
82,D1,24/10/15,Bayern Munich,FC Koln,4,0,1,1.1,9,29,20,8,6.86842105263158,12,
83,D1,24/10/15,Darmstadt,Wolfsburg,0,1,-1,4.75,3.75,1.75,6,2,1.19318181818182,4,
84,D1,24/10/15,Hannover,Ein Frankfurt,1,2,-1,2.5,3.4,2.8,4,5,1.53548387096774,-1,
85,D1,24/10/15,Ingolstadt,Hertha,0,1,-1,2.4,3.2,3.1,2,4,1.57460317460317,-2,
86,D1,24/10/15,Leverkusen,Stuttgart,4,3,1,1.57,4.33,5.5,4,8,2.42268565615463,-4,
87,D1,24/10/15,Mainz,Werder Bremen,1,3,-1,2.05,3.5,3.6,6,5,1.77464788732394,1,
88,D1,25/10/15,Dortmund,Augsburg,5,1,1,1.2,7,13,12,5,4.55,7,
89,D1,25/10/15,M'gladbach,Schalke 04,3,1,1,2.15,3.5,3.3,7,5,1.69852941176471,2,
90,D1,30/10/15,Ein Frankfurt,Bayern Munich,0,0,-1,15,8,1.17,9,9,1.02071973827699,0,
91,D1,31/10/15,Augsburg,Mainz,3,3,-1,2.3,3.4,3.1,3,6,1.62153846153846,-3,
92,D1,31/10/15,FC Koln,Hoffenheim,0,0,-1,2.05,3.5,3.4,5,7,1.72463768115942,-2,
93,D1,31/10/15,Hertha,M'gladbach,1,4,-1,3,3.3,2.4,8,9,1.38947368421053,-1,
94,D1,31/10/15,Schalke 04,Ingolstadt,1,1,-1,1.8,3.5,4.75,7,4,2.01515151515152,3,
95,D1,31/10/15,Werder Bremen,Dortmund,1,3,-1,7.5,5,1.4,2,12,1.09375,-10,
96,D1,31/10/15,Wolfsburg,Leverkusen,2,1,1,2.63,3.4,2.7,12,4,1.50491803278689,8,
97,D1,01/11/15,Hamburg,Hannover,1,2,-1,2,3.3,4,3,4,1.80821917808219,-1,
98,D1,01/11/15,Stuttgart,Darmstadt,2,0,1,1.67,4,5,4,6,2.22222222222222,-2,
99,D1,06/11/15,Hannover,Hertha,1,3,-1,2.63,3.3,2.7,5,5,1.485,0,
100,D1,07/11/15,Bayern Munich,Stuttgart,4,0,1,1.1,11,21,24,11,7.21875,13,
101,D1,07/11/15,Darmstadt,Hamburg,1,1,-1,2.75,3,2.8,6,6,1.44827586206897,0,
102,D1,07/11/15,Hoffenheim,Ein Frankfurt,0,0,-1,2.1,3.6,3.4,5,7,1.74857142857143,-2,
103,D1,07/11/15,Leverkusen,FC Koln,1,2,-1,1.5,4.33,6.5,8,8,2.59879963065559,0,
104,D1,07/11/15,Mainz,Wolfsburg,2,0,1,3.3,3.6,2.15,7,3,1.34608695652174,4,
105,D1,07/11/15,M'gladbach,Ingolstadt,0,0,-1,1.62,3.8,6,10,5,2.3265306122449,5,
106,D1,08/11/15,Augsburg,Werder Bremen,1,2,-1,2.2,3.4,3.3,6,8,1.67462686567164,-2,
107,D1,08/11/15,Dortmund,Schalke 04,3,2,1,1.3,6,8.5,17,6,3.51724137931034,11,
108,D1,20/11/15,Hamburg,Dortmund,3,1,1,8.5,5,1.36,4,15,1.06918238993711,-11,
109,D1,21/11/15,Ein Frankfurt,Leverkusen,1,3,-1,3.8,3.6,1.95,9,5,1.26486486486486,4,
110,D1,21/11/15,FC Koln,Mainz,0,0,-1,2.15,3.5,3.3,5,9,1.69852941176471,-4,
111,D1,21/11/15,M'gladbach,Hannover,2,1,1,1.5,4.2,7,10,6,2.625,4,
112,D1,21/11/15,Schalke 04,Bayern Munich,1,3,-1,13,6.5,1.22,8,9,1.02720207253886,-1,
113,D1,21/11/15,Stuttgart,Augsburg,0,4,-1,1.95,3.8,3.6,6,6,1.84864864864865,0,
114,D1,21/11/15,Wolfsburg,Werder Bremen,6,0,1,1.57,4,5.75,14,10,2.35897435897436,4,
115,D1,22/11/15,Hertha,Hoffenheim,1,0,1,2,3.5,3.8,9,7,1.82191780821918,2,
116,D1,22/11/15,Ingolstadt,Darmstadt,3,1,1,2.05,3.25,4,2,6,1.79310344827586,-4,
117,D1,27/11/15,Darmstadt,FC Koln,0,0,-1,2.9,3.1,2.6,7,10,1.4140350877193,-3,
118,D1,28/11/15,Bayern Munich,Hertha,2,0,1,1.08,11,26,28,8,7.72972972972973,20,
119,D1,28/11/15,Hannover,Ingolstadt,4,0,1,2.6,3.2,2.8,6,5,1.49333333333333,1,
120,D1,28/11/15,Hoffenheim,M'gladbach,3,3,-1,3.1,3.5,2.25,5,13,1.3695652173913,-8,
121,D1,28/11/15,Mainz,Ein Frankfurt,2,1,1,2.2,3.5,3.2,9,7,1.67164179104478,2,
122,D1,28/11/15,Werder Bremen,Hamburg,1,3,-1,2.25,3.4,3.2,3,7,1.64848484848485,-4,
123,D1,29/11/15,Augsburg,Wolfsburg,0,0,-1,3.3,3.4,2.2,7,3,1.33571428571429,4,
124,D1,29/11/15,Dortmund,Stuttgart,4,1,1,1.2,7.5,12,20,11,4.61538461538462,9,
125,D1,29/11/15,Leverkusen,Schalke 04,1,1,-1,1.62,4.2,5.25,9,8,2.33333333333333,1,
126,D1,04/12/15,Schalke 04,Hannover,3,1,1,1.6,4,5.75,9,7,2.35897435897436,2,
127,D1,05/12/15,FC Koln,Augsburg,0,1,-1,2.2,3.3,3.4,5,10,1.67462686567164,-5,
128,D1,05/12/15,Hamburg,Mainz,1,3,-1,2.25,3.4,3.2,7,9,1.64848484848485,-2,
129,D1,05/12/15,Hertha,Leverkusen,2,1,1,3.75,3.4,2.05,10,8,1.27889908256881,2,
130,D1,05/12/15,Ingolstadt,Hoffenheim,1,1,-1,2.25,3.3,3.3,5,7,1.65,-2,
131,D1,05/12/15,M'gladbach,Bayern Munich,3,1,1,9,5.25,1.33,12,12,1.06117021276596,0,
132,D1,05/12/15,Wolfsburg,Dortmund,1,2,-1,4,4.33,1.75,20,16,1.24629934210526,4,
133,D1,06/12/15,Ein Frankfurt,Darmstadt,0,1,-1,1.91,3.4,4.33,10,7,1.90452781371281,3,
134,D1,06/12/15,Stuttgart,Werder Bremen,1,1,-1,1.95,3.75,3.75,6,10,1.875,-4,
135,D1,11/12/15,Mainz,Stuttgart,0,0,-1,2.05,3.6,3.5,11,12,1.77464788732394,-1,
136,D1,12/12/15,Bayern Munich,Ingolstadt,2,0,1,1.07,13,29,30,5,8.97619047619048,25,
137,D1,12/12/15,Darmstadt,Hertha,0,4,-1,3.1,3.1,2.5,7,8,1.38392857142857,-1,
138,D1,12/12/15,Hoffenheim,Hannover,1,0,1,1.8,3.5,4.5,8,8,1.96875,0,
139,D1,12/12/15,Leverkusen,M'gladbach,5,0,1,1.95,3.75,3.75,10,16,1.875,-6,
140,D1,12/12/15,Werder Bremen,FC Koln,1,1,-1,2.5,3.3,2.88,4,10,1.5378640776699,-6,
141,D1,12/12/15,Wolfsburg,Hamburg,1,1,-1,1.57,4.2,5.75,21,10,2.42713567839196,11,
142,D1,13/12/15,Augsburg,Schalke 04,2,1,1,2.63,3.5,2.63,7,9,1.50163132137031,-2,
143,D1,13/12/15,Dortmund,Ein Frankfurt,4,1,1,1.17,8,15,24,8,5.21739130434783,16,
144,D1,18/12/15,Schalke 04,Hoffenheim,1,0,1,1.67,4,5,12,8,2.22222222222222,4,
145,D1,19/12/15,Ein Frankfurt,Werder Bremen,2,1,1,2.25,3.4,3.2,10,11,1.64848484848485,-1,
146,D1,19/12/15,FC Koln,Dortmund,2,1,1,7,4.75,1.44,5,18,1.10500807754443,-13,
147,D1,19/12/15,Hamburg,Augsburg,0,1,-1,2.4,3.3,3,8,11,1.57142857142857,-3,
148,D1,19/12/15,Hannover,Bayern Munich,0,1,-1,15,6.5,1.2,10,13,1.01298701298701,-3,
149,D1,19/12/15,Ingolstadt,Leverkusen,0,1,-1,4.75,3.5,1.8,6,9,1.18867924528302,-3,
150,D1,19/12/15,Stuttgart,Wolfsburg,3,1,1,3.5,3.6,2,7,3,1.28571428571429,4,
151,D1,20/12/15,Hertha,Mainz,2,0,1,2.15,3.4,3.4,12,12,1.7,0,
152,D1,20/12/15,M'gladbach,Darmstadt,3,2,1,1.5,4.33,6.5,15,8,2.59879963065559,7,
153,D1,22/01/16,Hamburg,Bayern Munich,1,2,-1,13,6.5,1.22,8,14,1.02720207253886,-6,
154,D1,23/01/16,FC Koln,Stuttgart,1,3,-1,2.15,3.5,3.3,7,12,1.69852941176471,-5,
155,D1,23/01/16,Hannover,Darmstadt,1,2,-1,2.3,3.3,3.2,10,10,1.62461538461538,0,
156,D1,23/01/16,Hertha,Augsburg,0,0,-1,2.2,3.3,3.4,14,12,1.67462686567164,2,
157,D1,23/01/16,Hoffenheim,Leverkusen,1,1,-1,4.33,3.8,1.8,9,10,1.22142857142857,-1,
158,D1,23/01/16,Ingolstadt,Mainz,1,0,1,2.4,3.2,3.1,6,12,1.57460317460317,-6,
159,D1,23/01/16,M'gladbach,Dortmund,1,3,-1,4.5,4.2,1.7,18,19,1.21016949152542,-1,
160,D1,24/01/16,Ein Frankfurt,Wolfsburg,3,2,1,3.6,3.5,2.05,12,4,1.29279279279279,8,
161,D1,24/01/16,Schalke 04,Werder Bremen,1,3,-1,1.67,4,5,13,12,2.22222222222222,1,
162,D1,29/01/16,Mainz,M'gladbach,1,0,1,2.6,3.4,2.7,11,16,1.50491803278689,-5,
163,D1,30/01/16,Augsburg,Ein Frankfurt,0,0,-1,1.95,3.6,4,9,9,1.89473684210526,0,
164,D1,30/01/16,Darmstadt,Schalke 04,0,2,-1,3.4,3.4,2.15,7,10,1.31711711711712,-3,
165,D1,30/01/16,Dortmund,Ingolstadt,2,0,1,1.17,7,19,28,5,5.11538461538462,23,
166,D1,30/01/16,Leverkusen,Hannover,3,0,1,1.25,6,12,15,8,4,7,
167,D1,30/01/16,Stuttgart,Hamburg,2,1,1,1.95,3.6,3.8,10,11,1.84864864864865,-1,
168,D1,30/01/16,Werder Bremen,Hertha,3,3,-1,2.5,3.3,2.8,5,12,1.51475409836066,-7,
169,D1,31/01/16,Bayern Munich,Hoffenheim,2,0,1,1.08,13,21,32,8,8.02941176470588,24,
170,D1,31/01/16,Wolfsburg,FC Koln,1,1,-1,1.57,4,5.75,22,11,2.35897435897436,11,
171,D1,05/02/16,M'gladbach,Werder Bremen,5,1,1,1.7,4,4.5,19,15,2.11764705882353,4,
172,D1,06/02/16,Ein Frankfurt,Stuttgart,2,4,-1,2.7,3.6,2.5,15,15,1.47540983606557,0,
173,D1,06/02/16,Hannover,Mainz,0,1,-1,2.75,3.3,2.6,11,12,1.45423728813559,-1,
174,D1,06/02/16,Hertha,Dortmund,0,0,-1,6.5,4.33,1.5,14,22,1.11406518010292,-8,
175,D1,06/02/16,Ingolstadt,Augsburg,2,1,1,2.5,3.1,3.1,7,12,1.55,-5,
176,D1,06/02/16,Leverkusen,Bayern Munich,0,0,-1,5.25,4.2,1.6,18,16,1.15862068965517,2,
177,D1,06/02/16,Schalke 04,Wolfsburg,3,0,1,2.45,3.5,2.8,14,6,1.55555555555556,8,
178,D1,07/02/16,Hamburg,FC Koln,1,1,-1,2.5,3.2,3,9,12,1.54838709677419,-3,
179,D1,07/02/16,Hoffenheim,Darmstadt,0,2,-1,2,3.3,4,10,12,1.80821917808219,-2,
180,D1,12/02/16,Mainz,Schalke 04,2,1,1,2.9,3.4,2.45,12,12,1.42393162393162,0,
181,D1,13/02/16,Darmstadt,Leverkusen,1,2,-1,4.75,3.75,1.75,7,11,1.19318181818182,-4,
182,D1,13/02/16,Dortmund,Hannover,1,0,1,1.14,8.5,17,30,8,5.66666666666667,22,
183,D1,13/02/16,FC Koln,Ein Frankfurt,3,1,1,1.91,3.8,3.8,8,9,1.9,-1,
184,D1,13/02/16,Stuttgart,Hertha,2,0,1,2.1,3.5,3.5,12,15,1.75,-3,
185,D1,13/02/16,Werder Bremen,Hoffenheim,1,1,-1,2.2,3.5,3.25,8,8,1.68518518518519,0,
186,D1,13/02/16,Wolfsburg,Ingolstadt,2,0,1,1.73,3.6,5.25,23,5,2.13559322033898,18,
187,D1,14/02/16,Augsburg,Bayern Munich,1,3,-1,13,6,1.22,9,16,1.01385041551247,-7,
188,D1,14/02/16,Hamburg,M'gladbach,3,2,1,3.3,3.6,2.1,10,16,1.32631578947368,-6,
189,D1,19/02/16,Ein Frankfurt,Hamburg,0,0,-1,2.25,3.5,3,17,12,1.61538461538462,5,
190,D1,20/02/16,Bayern Munich,Darmstadt,3,1,1,1.08,12,26,34,14,8.21052631578947,20,
191,D1,20/02/16,Hertha,Wolfsburg,1,1,-1,2.75,3.3,2.6,14,6,1.45423728813559,8,
192,D1,20/02/16,Hoffenheim,Mainz,3,2,1,2.4,3.4,2.9,10,13,1.56507936507937,-3,
193,D1,20/02/16,Ingolstadt,Werder Bremen,2,0,1,2.1,3.3,3.6,9,16,1.72173913043478,-7,
194,D1,20/02/16,M'gladbach,FC Koln,1,0,1,1.91,3.6,4,24,13,1.89473684210526,11,
195,D1,21/02/16,Hannover,Augsburg,0,1,-1,2.63,3.3,2.75,11,13,1.5,-2,
196,D1,21/02/16,Leverkusen,Dortmund,0,1,-1,3.4,3.5,2.1,18,22,1.3125,-4,
197,D1,21/02/16,Schalke 04,Stuttgart,1,1,-1,2.15,3.75,3.1,17,19,1.6970802919708,-2,
198,D1,26/02/16,FC Koln,Hertha,0,1,-1,2.1,3.3,3.75,11,15,1.75531914893617,-4,
199,D1,27/02/16,Hamburg,Ingolstadt,1,1,-1,2.4,3,3.3,13,5,1.57142857142857,8,
200,D1,27/02/16,Stuttgart,Hannover,1,2,-1,1.53,4,6.5,14,8,2.47619047619048,6,
201,D1,27/02/16,Werder Bremen,Darmstadt,2,2,-1,2.1,3.4,3.6,9,15,1.74857142857143,-6,
202,D1,27/02/16,Wolfsburg,Bayern Munich,0,2,-1,9,4.5,1.4,25,19,1.06779661016949,6,
203,D1,28/02/16,Augsburg,M'gladbach,2,2,-1,2.7,3.4,2.6,10,18,1.47333333333333,-8,
204,D1,28/02/16,Dortmund,Hoffenheim,3,1,1,1.18,7,17,31,9,4.95833333333333,22,
205,D1,28/02/16,Ein Frankfurt,Schalke 04,0,0,-1,3.2,3.4,2.25,17,13,1.35398230088496,4,
206,D1,28/02/16,Mainz,Leverkusen,3,1,1,3.75,3.5,2,14,13,1.27272727272727,1,
207,D1,01/03/16,Hannover,Wolfsburg,0,4,-1,4.2,3.75,1.85,11,7,1.23883928571429,4,
208,D1,01/03/16,Ingolstadt,FC Koln,1,1,-1,2.5,3.1,3,11,13,1.52459016393443,-2,
209,D1,02/03/16,Bayern Munich,Mainz,1,2,-1,1.13,9,21,37,15,6.3,22,
210,D1,02/03/16,Darmstadt,Dortmund,0,2,-1,8,4.75,1.4,8,23,1.08130081300813,-15,
211,D1,02/03/16,Hertha,Ein Frankfurt,2,0,1,1.85,3.6,4.33,15,10,1.9656998738966,5,
212,D1,02/03/16,Hoffenheim,Augsburg,2,1,1,2.25,3.4,3.3,13,14,1.67462686567164,-1,
213,D1,02/03/16,Leverkusen,Werder Bremen,1,4,-1,1.44,4.75,7,18,16,2.82978723404255,2,
214,D1,02/03/16,M'gladbach,Stuttgart,4,0,1,2.05,3.8,3.4,25,20,1.79444444444444,5,
215,D1,02/03/16,Schalke 04,Hamburg,3,2,1,1.85,3.6,4.33,18,12,1.9656998738966,6,
216,D1,05/03/16,Augsburg,Leverkusen,3,3,-1,2.9,3.3,2.5,12,14,1.42241379310345,-2,
217,D1,05/03/16,Dortmund,Bayern Munich,0,0,-1,3.1,3.4,2.3,34,21,1.3719298245614,13,
218,D1,05/03/16,Ein Frankfurt,Ingolstadt,1,1,-1,2.5,3.2,3,17,6,1.54838709677419,11,
219,D1,05/03/16,FC Koln,Schalke 04,1,3,-1,2.4,3.2,3.1,11,13,1.57460317460317,-2,
220,D1,05/03/16,Stuttgart,Hoffenheim,5,1,1,1.91,3.6,4,15,10,1.89473684210526,5,
