Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,24/11/2018,8,12,1,3,A,2.62,3.5,2.62,100,100,1.47888157894737,
D1,24/11/2018,0,15,3,3,D,1.08,11,26,101,101,8.54544671689989,
D1,24/11/2018,14,9,3,3,D,3.4,3.75,2.04,102,102,1.35391014975042,
D1,24/11/2018,7,1,1,2,A,5.5,4,1.6,103,103,1.19173333333333,
D1,24/11/2018,6,17,5,2,H,1.53,4,7,104,104,2.67330016583748,
D1,24/11/2018,3,4,1,0,H,3.5,3.5,2.1,105,105,1.40302405498282,
D1,25/11/2018,13,10,1,1,D,2.87,3.3,2.5,106,106,1.52032520325203,
D1,25/11/2018,5,11,4,1,H,1.44,4.5,7,107,107,3.06298742138365,
D1,30/11/2018,15,7,0,1,A,2.7,3.3,2.6,108,108,1.55207936507937,
D1,01/12/2018,1,13,2,0,H,1.28,5.5,11,109,109,3.64358974358974,
D1,01/12/2018,11,14,0,2,A,2.7,3.4,2.6,110,110,1.54323248407643,
D1,01/12/2018,9,6,1,1,D,1.8,3.8,4.33,111,111,2.01098014888337,
D1,01/12/2018,16,8,1,0,H,2.6,3.3,2.75,112,112,1.50801963993453,
D1,01/12/2018,10,0,1,2,A,7,5.25,1.4,113,113,1.10564788732394,
D1,02/12/2018,12,3,1,2,A,1.8,4,4.1,114,114,1.87507323568575,
D1,02/12/2018,4,5,2,0,H,1.9,3.75,3.75,115,115,2.18426773455378,
D1,03/12/2018,17,2,1,1,D,4.2,4,1.8,116,116,1.2081660899654,
D1,07/12/2018,10,15,3,1,H,1.72,4,4.5,117,117,2.04041312272175,
D1,08/12/2018,0,17,3,0,H,1.08,11,34,118,118,9.10093770636144,
D1,08/12/2018,13,4,3,0,H,4,4,1.83,119,119,1.23565743944637,
D1,08/12/2018,14,12,1,0,H,2.45,3.3,2.9,120,120,1.54174326465927,
D1,08/12/2018,2,8,1,0,H,1.66,4,5,121,121,2.17017162471396,
D1,08/12/2018,6,1,1,2,A,3.3,3.4,2.2,122,122,1.39216354344123,
D1,08/12/2018,3,9,2,2,D,3,3.6,2.3,123,123,1.4240589198036,
D1,09/12/2018,7,11,1,1,D,1.9,3.6,4,124,124,1.97875939849624,
D1,09/12/2018,5,16,3,0,H,1.44,4.33,7,125,125,2.46471528471528,
D1,14/12/2018,17,3,0,2,A,3.6,3.5,2.04,126,126,1.32062056737589,
D1,15/12/2018,8,6,1,1,D,2.5,3.25,2.9,127,127,1.53043618739903,
D1,15/12/2018,1,10,2,1,H,1.36,5.25,8,128,128,3.2600875273523,
D1,15/12/2018,15,13,2,0,H,2.75,3.3,2.6,129,129,1.54652243589744,
D1,15/12/2018,11,0,0,4,A,11,7,1.22,130,130,1.05180212014134,
D1,15/12/2018,9,5,0,0,D,1.9,4,3.6,131,131,2.1273216374269,
D1,15/12/2018,16,14,2,1,H,2.7,3.4,2.62,132,132,1.56759493670886,
D1,16/12/2018,12,2,2,1,H,2.4,3.5,2.87,133,133,1.59732928679818,
D1,16/12/2018,4,7,4,1,H,1.4,4.75,7.5,134,134,2.76164383561644,
D1,18/12/2018,15,1,2,1,H,7,4.5,1.44,135,135,1.15807504078303,
D1,18/12/2018,14,8,2,2,D,2.3,3.4,3.1,136,136,1.70205580029369,
D1,18/12/2018,5,17,2,0,H,1.36,5.5,7,137,137,3.2162672476398,
D1,18/12/2018,3,16,2,0,H,1.66,3.75,5.5,138,138,2.39905566600398,
D1,19/12/2018,0,4,1,0,H,1.36,5.25,8,139,139,3.7463474524248,
D1,19/12/2018,13,11,1,1,D,1.85,3.6,4,140,140,2.10866745283019,
D1,19/12/2018,7,12,2,2,D,3.2,3.5,2.2,141,141,1.37546848381601,
D1,19/12/2018,6,2,1,2,A,2.4,3.5,2.9,142,142,1.58168238993711,
D1,19/12/2018,10,9,1,1,D,3.1,4.2,2.04,143,143,1.39942028985507,
D1,21/12/2018,1,5,2,1,H,1.5,4.5,5.75,144,144,2.75871428571429,
D1,22/12/2018,12,0,0,3,A,5.75,4.75,1.5,145,145,1.13234421364985,
D1,22/12/2018,11,15,0,1,A,2.2,3.4,3.3,146,146,1.58810641627543,
D1,22/12/2018,2,14,3,1,H,1.72,4,4.5,147,147,2.28687432867884,
D1,22/12/2018,17,13,0,1,A,2.62,3.3,2.7,148,148,1.45878583473862,
