Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
D1,09/12/17,12,0,0,1,A,7,4.75,1.44,128,128,1.10500807754443
D1,09/12/17,15,3,0,0,D,2.5,3.29,2.87,129,129,1.53284090909091
D1,09/12/17,5,6,1,1,D,2.25,3.39,3.2,130,130,1.64613050075873
D1,09/12/17,4,7,2,2,D,1.39,4.75,8,131,131,2.98039215686275
D1,10/12/17,8,14,1,1,D,1.95,3.29,4,132,132,1.80521262002743
D1,10/12/17,17,13,3,4,A,2.25,3.25,3.2,133,133,1.61240310077519
D1,10/12/17,11,9,2,0,H,2.7,3.39,2.5,134,134,1.43887945670628
D1,12/12/17,13,5,1,0,H,3.39,3.39,2.14,135,135,1.31186256781193
D1,12/12/17,15,12,1,2,A,2.6,3.2,2.79,136,136,1.49048414023372
D1,12/12/17,7,1,0,2,A,5,4,1.61,137,137,1.14795008912656
D1,12/12/17,3,4,1,1,D,3,3.6,2.29,138,138,1.39966044142615
D1,13/12/17,0,17,1,0,H,1.08,12,26,139,139,8.21052631578947
D1,13/12/17,14,11,3,1,H,2,3.29,4,140,140,1.80521262002743
D1,13/12/17,9,16,1,0,H,1.9,3.6,4,141,141,1.89473684210526
D1,13/12/17,2,10,1,0,H,1.44,4.75,7,142,142,2.82978723404255
D1,13/12/17,6,8,3,2,H,1.83,3.6,4.5,143,143,2
D1,15/12/17,5,15,3,1,H,1.8,3.6,4.5,144,144,2
D1,16/12/17,8,13,3,3,D,1.75,3.6,5,145,145,2.09302325581395
D1,16/12/17,1,9,2,1,H,1.5,4.33,6.5,146,146,2.59879963065559
D1,16/12/17,12,6,2,2,D,2.5,3.1,3.1,147,147,1.55
D1,16/12/17,17,3,1,0,H,3.6,3.5,2.04,148,148,1.28880866425993
D1,16/12/17,16,0,0,1,A,10,5,1.33,149,149,1.05055292259084
D1,16/12/17,10,7,2,2,D,1.95,3.5,4,150,150,1.86666666666667
D1,17/12/17,11,2,4,4,D,4.33,3.79,1.8,151,151,1.22039355992844
D1,17/12/17,4,14,2,3,A,1.57,3.79,6,152,152,2.32277834525026
D1,12/01/18,2,0,1,3,A,4.2,3.79,1.83,153,153,1.2341103202847
D1,13/01/18,8,15,1,0,H,1.95,3.39,4.2,154,154,1.87588932806324
D1,13/01/18,12,13,1,1,D,1.85,3.5,4.5,155,155,1.96875
D1,13/01/18,11,7,3,2,H,2.2,3.39,3.29,156,156,1.66962574850299
D1,13/01/18,4,6,3,1,H,2.1,3.39,3.6,157,157,1.74592274678112
D1,13/01/18,16,14,1,0,H,2.14,3.29,3.6,158,158,1.71901306240929
D1,13/01/18,10,9,1,1,D,2.6,3.39,2.75,159,159,1.51832247557003
D1,14/01/18,1,3,0,0,D,1.39,5,7.5,160,160,3
D1,14/01/18,17,5,2,1,H,3.29,3.5,2.14,161,161,1.32801418439716
D1,19/01/18,14,1,1,1,D,3.29,3.39,2.2,162,162,1.33416815742397
D1,20/01/18,13,4,2,1,H,3.5,3.5,2.1,163,163,1.3125
D1,20/01/18,15,17,0,2,A,2.2,3.29,3.39,164,164,1.66962574850299
D1,20/01/18,9,2,1,4,A,2.87,3.6,2.37,165,165,1.42914572864322
D1,20/01/18,7,16,3,2,H,2.6,3.2,2.87,166,166,1.51301482701812
D1,20/01/18,5,8,2,0,H,2.1,3.6,3.39,167,167,1.74592274678112
D1,20/01/18,3,12,1,3,A,2.2,3.2,3.6,168,168,1.69411764705882
D1,21/01/18,0,10,4,2,H,1.12,10,17,169,169,6.2962962962963
D1,21/01/18,6,11,1,1,D,1.57,3.79,6.5,170,170,2.39407191448008
D1,26/01/18,12,5,2,0,H,2.45,3.39,2.89,171,171,1.56004777070064
D1,27/01/18,0,9,5,2,H,1.19,7,13,172,172,4.55
D1,27/01/18,1,13,2,2,D,1.39,5,7.5,173,173,3
D1,27/01/18,17,8,1,1,D,2.79,3.25,2.6,174,174,1.44444444444444
D1,27/01/18,4,15,1,1,D,1.5,4.2,7,175,175,2.625
D1,27/01/18,16,6,0,2,A,2.89,3.25,2.5,176,176,1.41304347826087
D1,27/01/18,10,14,0,0,D,2.2,3.39,3.29,177,177,1.66962574850299
D1,28/01/18,11,3,0,1,A,2.29,3.39,3.1,178,178,1.61926040061633
D1,28/01/18,2,7,2,0,H,1.39,5,7.5,179,179,3
D1,02/02/18,17,1,2,3,A,5,3.79,1.7,180,180,1.1735883424408
D1,03/02/18,13,2,0,0,D,4,3.79,1.85,181,181,1.24317375886525
D1,03/02/18,14,9,1,1,D,2.62,3.29,2.75,182,182,1.49793046357616
D1,03/02/18,7,0,0,2,A,10,5.25,1.3,183,183,1.04198473282443
D1,03/02/18,5,4,0,1,A,2.5,3.39,2.79,184,184,1.53043689320388
D1,03/02/18,6,10,1,2,A,1.75,3.79,4.75,185,185,2.10802107728337
D1,03/02/18,3,16,1,1,D,2.25,3.29,3.29,186,186,1.645
D1,04/02/18,8,12,3,0,H,2.35,3.29,3.1,187,187,1.59608763693271
D1,04/02/18,15,11,1,1,D,2.25,3.29,3.29,188,188,1.645
D1,09/02/18,4,8,2,0,H,1.7,3.79,5,189,189,2.15585893060296
D1,10/02/18,0,6,2,1,H,1.28,6,9.5,190,190,3.67741935483871
D1,10/02/18,1,15,2,0,H,1.33,5.25,9,191,191,3.31578947368421
D1,10/02/18,12,17,4,2,H,1.9,3.5,4.2,192,192,1.90909090909091
D1,10/02/18,11,13,2,1,H,2.1,3.5,3.5,193,193,1.75
D1,10/02/18,9,7,4,2,H,1.61,4,5.25,194,194,2.27027027027027
D1,10/02/18,2,14,0,2,A,1.53,4.33,6,195,195,2.51500484027106
D1,11/02/18,16,5,1,0,H,2.5,3.39,2.79,196,196,1.53043689320388
D1,11/02/18,10,3,3,1,H,2.14,3.39,3.39,197,197,1.695
D1,16/02/18,14,7,0,2,A,2,3.39,4,198,198,1.83491204330176
D1,17/02/18,17,11,1,1,D,2.29,3.39,3.1,199,199,1.61926040061633
D1,17/02/18,13,10,1,0,H,2.5,3.29,2.89,200,200,1.53852750809062
D1,17/02/18,15,2,1,2,A,3.79,3.5,2,201,201,1.27272727272727
D1,17/02/18,6,9,2,1,H,2.1,3.5,3.5,202,202,1.75
D1,17/02/18,3,0,1,2,A,8.5,5,1.36,203,203,1.06918238993711
D1,18/02/18,8,16,0,1,A,2.04,3.39,3.75,204,204,1.78046218487395
D1,18/02/18,5,1,0,1,A,3,3.6,2.29,205,205,1.39966044142615
D1,19/02/18,12,4,2,1,H,2.5,3.39,2.79,206,206,1.53043689320388
D1,23/02/18,7,3,1,1,D,2.14,3.39,3.5,207,207,1.72206095791001
D1,24/02/18,0,14,0,0,D,1.16,7.5,17,208,208,5.20408163265306
D1,24/02/18,11,5,0,1,A,2.62,3.39,2.7,209,209,1.50295566502463
D1,24/02/18,9,13,1,1,D,1.66,4.2,4.75,210,210,2.22905027932961
D1,24/02/18,16,12,1,0,H,2.37,3.2,3.25,211,211,1.61240310077519
D1,24/02/18,10,15,1,0,H,1.83,3.6,4.5,212,212,2
D1,25/02/18,2,6,0,2,A,1.9,3.6,4,213,213,1.89473684210526
D1,25/02/18,4,17,1,2,A,1.55,4,6.5,214,214,2.47619047619048
D1,26/02/18,1,8,1,1,D,1.44,4.5,7,215,215,2.73913043478261
D1,02/03/18,5,10,2,2,D,1.95,3.5,4,216,216,1.86666666666667
D1,03/03/18,8,9,0,2,A,2.89,3.39,2.45,217,217,1.42217465753425
D1,03/03/18,12,11,1,0,H,1.75,3.6,5,218,218,2.09302325581395
D1,03/03/18,15,7,0,0,D,2.25,3.29,3.39,219,219,1.66962574850299
D1,03/03/18,4,1,1,1,D,2.39,3.5,2.87,220,220,1.57692307692308
D1,03/03/18,6,14,1,0,H,1.66,3.6,6,221,221,2.25
D1,03/03/18,3,2,1,2,A,3.29,3.39,2.2,222,222,1.33416815742397
D1,04/03/18,17,16,2,3,A,2.45,3.25,3,223,223,1.56
D1,04/03/18,13,0,0,4,A,10,5.5,1.3,224,224,1.05147058823529
D1,09/03/18,7,6,0,1,A,3.6,3.29,2.1,225,225,1.28181818181818
D1,10/03/18,0,15,6,0,H,1.12,9,21,226,226,6.3
D1,10/03/18,11,8,1,3,A,2.14,3.39,3.39,227,227,1.695
D1,10/03/18,14,13,0,0,D,2.1,3.25,3.79,228,228,1.74964488636364
D1,10/03/18,9,3,3,0,H,1.66,4,5,229,229,2.22222222222222
D1,10/03/18,2,5,2,0,H,1.7,3.89,5,230,230,2.18785151856018
D1,11/03/18,1,12,3,2,H,1.75,3.6,5,231,231,2.09302325581395
D1,11/03/18,16,4,0,0,D,2.62,3.39,2.62,232,232,1.47783693843594
D1,12/03/18,10,17,3,1,H,1.83,3.75,4.2,233,233,1.9811320754717
D1,16/03/18,13,16,1,2,A,2.62,3.2,2.79,234,234,1.49048414023372
D1,17/03/18,8,10,1,3,A,2.5,3.1,3.1,235,235,1.55
D1,17/03/18,12,7,3,0,H,1.61,3.79,6,236,236,2.32277834525026
D1,17/03/18,15,14,1,2,A,2.54,3,3,237,237,1.5
D1,17/03/18,5,9,3,3,D,2.75,3.39,2.54,238,238,1.45204047217538
D1,17/03/18,3,6,0,1,A,3.5,3.25,2.2,239,239,1.31192660550459
D1,18/03/18,1,11,1,0,H,1.44,4.75,7,240,240,2.82978723404255
D1,18/03/18,17,2,2,0,H,5,3.75,1.72,241,241,1.17915904936015
D1,18/03/18,4,0,2,1,H,5,4.33,1.6,242,242,1.16829679595278
D1,31/03/18,0,1,6,0,H,1.36,5,8,243,243,3.07692307692308
D1,31/03/18,11,4,2,3,A,3.89,3.6,1.95,244,244,1.26486486486486
D1,31/03/18,14,3,0,0,D,2.04,3.29,3.6,245,245,1.71901306240929
D1,31/03/18,9,17,6,0,H,1.53,4.5,5.75,246,246,2.52439024390244
D1,31/03/18,2,8,0,0,D,1.44,4.5,6.5,247,247,2.65909090909091
D1,31/03/18,6,13,2,0,H,1.55,3.79,6.5,248,248,2.39407191448008
D1,31/03/18,16,15,1,1,D,1.72,3.6,4.75,249,249,2.04790419161677
D1,01/04/18,7,5,0,0,D,2.45,3.39,2.75,250,250,1.51832247557003
D1,01/04/18,10,12,2,1,H,2.37,3.25,3,251,251,1.56
D1,06/04/18,11,10,2,1,H,2.89,3.5,2.37,252,252,1.41311754684838
D1,07/04/18,8,0,1,4,A,6.5,4.33,1.5,253,253,1.11406518010292
D1,07/04/18,17,7,1,1,D,2,3.5,3.75,254,254,1.81034482758621
D1,07/04/18,13,3,0,2,A,2.5,3.1,3.1,255,255,1.55
D1,07/04/18,15,6,3,2,H,4.33,3.39,1.9,256,256,1.21758034026465
D1,07/04/18,5,14,2,1,H,1.7,3.5,5.75,257,257,2.17567567567568
D1,08/04/18,1,16,3,0,H,1.61,4,5.5,258,258,2.31578947368421
D1,08/04/18,12,9,1,1,D,2.39,3.39,3,259,259,1.59154929577465
D1,09/04/18,4,2,1,4,A,2.29,3.5,3,260,260,1.61538461538462
D1,13/04/18,3,8,0,0,D,2.14,3.29,3.6,261,261,1.71901306240929
D1,14/04/18,0,5,5,1,H,1.33,5.75,8,262,262,3.34545454545455
D1,14/04/18,14,17,2,1,H,1.95,3.6,3.79,263,263,1.84627875507442
D1,14/04/18,9,15,2,0,H,1.5,4.33,6.5,264,264,2.59879963065559
D1,14/04/18,2,12,4,1,H,1.8,3.79,4.33,265,265,2.02102216748768
D1,14/04/18,16,11,1,1,D,1.9,3.6,4,266,266,1.89473684210526
D1,15/04/18,6,1,2,0,H,2.54,3.39,2.7,267,267,1.50295566502463
D1,15/04/18,10,4,1,1,D,2.79,3.5,2.45,268,268,1.44117647058824
D1,16/04/18,7,13,2,0,H,2.29,3.29,3.2,269,269,1.62218798151002
D1,20/04/18,5,3,3,0,H,1.8,3.79,4.5,270,270,2.05729794933655
D1,21/04/18,1,2,4,0,H,2.29,3.5,3,271,271,1.61538461538462
D1,21/04/18,12,14,0,3,A,1.95,3.39,4.2,272,272,1.87588932806324
D1,21/04/18,15,13,1,0,H,2.04,3.39,3.75,273,273,1.78046218487395
D1,21/04/18,11,0,0,3,A,6.25,4.59,1.44,274,274,1.09611940298507
D1,21/04/18,4,9,2,5,A,2.04,3.75,3.39,275,275,1.78046218487395
D1,21/04/18,16,10,2,0,H,2.39,3.29,3,276,276,1.5691573926868
D1,22/04/18,8,7,2,0,H,2.2,3.29,3.39,277,277,1.66962574850299
D1,22/04/18,17,6,2,2,D,3.75,3.5,2,278,278,1.27272727272727
D1,27/04/18,9,11,3,1,H,1.28,6,9.5,279,279,3.67741935483871
D1,28/04/18,0,12,4,1,H,1.6,4.33,5.25,280,280,2.37291231732777
D1,28/04/18,13,17,3,2,H,2.1,3.39,3.6,281,281,1.74592274678112
D1,28/04/18,14,8,2,2,D,2.04,3.25,3.79,282,282,1.74964488636364
D1,28/04/18,2,16,0,1,A,1.39,4.75,8,283,283,2.98039215686275
D1,28/04/18,6,5,1,1,D,1.85,3.6,4.2,284,284,1.93846153846154
D1,28/04/18,3,15,1,3,A,2.2,3.39,3.29,285,285,1.66962574850299
D1,29/04/18,7,4,3,0,H,3.75,3.39,2.04,286,286,1.27359116022099
D1,29/04/18,10,1,1,1,D,3.79,3.75,1.9,287,287,1.26106194690265
D1,05/05/18,8,6,1,2,A,3.6,3.29,2.1,288,288,1.28181818181818
D1,05/05/18,1,7,1,2,A,1.3,5.5,10,289,289,3.54838709677419
D1,05/05/18,12,15,3,0,H,1.95,3.5,4,290,290,1.86666666666667
D1,05/05/18,17,0,1,3,A,11,6.5,1.25,291,291,1.04838709677419
D1,05/05/18,11,14,3,1,H,2.7,3.39,2.62,292,292,1.47783693843594
D1,05/05/18,5,13,3,1,H,1.8,3.6,4.75,293,293,2.04790419161677
D1,05/05/18,4,3,4,1,H,1.61,4,5.5,294,294,2.31578947368421
D1,05/05/18,16,9,2,0,H,3.1,3.75,2.14,295,295,1.36247877758913
D1,05/05/18,10,2,0,0,D,3.79,4,1.85,296,296,1.26495726495727
D1,12/05/18,0,16,1,4,A,1.16,8,15,297,297,5.21739130434783
D1,12/05/18,13,8,2,0,H,1.95,3.39,4,298,298,1.83491204330176
D1,12/05/18,15,5,2,1,H,2.29,3.5,3,299,299,1.61538461538462
D1,12/05/18,14,4,2,6,A,4.2,3.75,1.85,300,300,1.23883928571429
D1,12/05/18,9,1,3,1,H,2.2,3.79,3,301,301,1.67452135493373
D1,12/05/18,2,11,3,2,H,1.19,7,13,302,302,4.55
D1,12/05/18,7,10,1,2,A,2.29,3.6,3,303,303,1.63636363636364
D1,12/05/18,6,12,1,0,H,2.29,3.5,3,304,304,1.61538461538462
D1,12/05/18,3,17,4,1,H,1.64,4,5.25,305,305,2.27027027027027
