,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
235,F1,13/02/2019,Caen,Nantes,0,1,-1,3.0,3.1,2.5,16,13,1.38392857142857,3,1.5
236,F1,13/02/2019,St Etienne,Strasbourg,2,1,1,1.95,3.3,4.0,16,27,1.80821917808219,-11,-5.5
237,F1,15/02/2019,Lyon,Guingamp,2,1,1,1.3,5.25,10.0,38,12,3.44262295081967,26,13.0
238,F1,15/02/2019,Nimes,Dijon,2,0,1,1.75,3.8,4.5,38,13,2.06024096385542,25,12.5
239,F1,16/02/2019,Angers,Nice,3,0,1,2.4,3.0,3.3,24,11,1.57142857142857,13,6.5
240,F1,16/02/2019,Marseille,Amiens,2,0,1,1.4,4.5,9.0,31,11,3.0,20,10.0
241,F1,16/02/2019,Monaco,Nantes,1,0,1,1.8,3.6,4.5,19,13,2.0,6,3.0
242,F1,17/02/2019,Bordeaux,Toulouse,2,1,1,1.83,3.5,4.75,24,15,2.01515151515152,9,4.5
243,F1,17/02/2019,Caen,Strasbourg,0,0,-1,3.5,3.1,2.3,16,27,1.3203703703703702,-11,-5.5
244,F1,17/02/2019,Lille,Montpellier,0,0,-1,1.85,3.3,4.75,42,22,1.9472049689441002,20,10.0
245,F1,17/02/2019,Reims,Rennes,2,0,1,2.5,3.1,3.1,21,28,1.55,-7,-3.5
246,F1,17/02/2019,St Etienne,Paris SG,0,1,-1,5.25,4.33,1.6,21,42,1.1682967959527801,-21,-10.5
247,F1,20/02/2019,Bordeaux,Guingamp,0,0,-1,1.9,3.4,4.33,24,12,1.9045278137128099,12,6.0
248,F1,20/02/2019,Paris SG,Montpellier,5,1,1,1.25,6.0,12.0,63,22,4.0,41,20.5
249,F1,22/02/2019,Dijon,St Etienne,0,1,-1,3.5,3.3,2.15,18,22,1.30183486238532,-4,-2.0
250,F1,22/02/2019,Strasbourg,Lille,1,1,-1,2.75,3.1,2.7,31,26,1.4431034482758602,5,2.5
251,F1,23/02/2019,Amiens,Nice,1,0,1,2.7,2.9,3.0,20,11,1.47457627118644,9,4.5
252,F1,23/02/2019,Guingamp,Angers,1,0,1,2.5,3.2,3.0,16,20,1.5483870967741902,-4,-2.0
253,F1,23/02/2019,Paris SG,Nimes,3,0,1,1.25,6.5,11.0,63,20,4.08571428571429,43,21.5
254,F1,24/02/2019,Monaco,Lyon,2,0,1,3.4,3.5,2.1,19,32,1.3125,-13,-6.5
255,F1,24/02/2019,Montpellier,Reims,2,4,-1,2.2,3.2,3.5,31,18,1.67164179104478,13,6.5
256,F1,24/02/2019,Nantes,Bordeaux,1,0,1,1.95,3.4,4.2,35,10,1.87894736842105,25,12.5
257,F1,24/02/2019,Rennes,Marseille,1,1,-1,2.9,3.3,2.45,27,29,1.40608695652174,-2,-1.0
258,F1,24/02/2019,Toulouse,Caen,1,1,-1,1.85,3.5,4.5,20,13,1.96875,7,3.5
259,F1,02/03/2019,Angers,Monaco,2,2,-1,3.3,3.3,2.25,24,19,1.33783783783784,5,2.5
260,F1,02/03/2019,Caen,Paris SG,1,2,-1,12.0,6.0,1.22,16,42,1.01385041551247,-26,-13.0
261,F1,02/03/2019,Reims,Amiens,2,2,-1,1.75,3.4,5.25,21,11,2.0635838150289,10,5.0
262,F1,03/03/2019,Guingamp,Nantes,0,0,-1,2.8,3.0,2.8,16,13,1.44827586206897,3,1.5
263,F1,03/03/2019,Lille,Dijon,1,0,1,1.53,3.8,7.5,42,13,2.5221238938053103,29,14.5
264,F1,03/03/2019,Lyon,Toulouse,5,1,1,1.28,5.5,10.0,38,15,3.54838709677419,23,11.5
265,F1,03/03/2019,Marseille,St Etienne,2,0,1,1.75,3.75,4.5,31,15,2.0454545454545503,16,8.0
266,F1,03/03/2019,Nice,Strasbourg,1,0,1,2.3,2.9,3.6,19,27,1.60615384615385,-8,-4.0
267,F1,05/03/2019,Bordeaux,Montpellier,1,2,-1,2.5,2.9,3.3,24,22,1.5435483870967701,2,1.0
268,F1,09/03/2019,Amiens,Nimes,2,1,1,2.45,3.2,3.1,20,22,1.57460317460317,-2,-1.0
269,F1,09/03/2019,Dijon,Reims,1,1,-1,3.1,3.1,2.45,18,18,1.36846846846847,0,0.0
270,F1,09/03/2019,Monaco,Bordeaux,1,1,-1,1.61,4.0,5.25,19,10,2.27027027027027,9,4.5
271,F1,09/03/2019,Strasbourg,Lyon,2,2,-1,4.75,3.8,1.75,31,32,1.1981981981982,-1,-0.5
272,F1,10/03/2019,Marseille,Nice,1,0,1,1.5,4.5,6.0,31,11,2.57142857142857,20,10.0
