,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG,PLUSPETIT
300,F1,06/04/2019,Angers,Rennes,3,3,-1,2.7,3.2,2.7,18,18,1.46440677966102,0,-2
301,F1,06/04/2019,Guingamp,Monaco,1,1,-1,3.75,3.4,2.05,12,15,1.27889908256881,-3,-1.5
302,F1,06/04/2019,Lyon,Dijon,1,3,-1,1.22,7,11,29,10,4.27777777777778,19,12.5
303,F1,06/04/2019,Nimes,Caen,2,0,1,1.65,3.8,5.5,20,12,2.24731182795699,8,12.5
304,F1,07/04/2019,Nice,Montpellier,1,0,1,2.62,3,3,12,18,1.5,-6,-1.5
305,F1,07/04/2019,Paris SG,Strasbourg,2,2,-1,1.1,11,21,53,23,7.21875,30,18
306,F1,07/04/2019,Reims,Lille,1,1,-1,2.9,3.1,2.62,17,22,1.41993006993007,-5,-2.5
307,F1,07/04/2019,Toulouse,Nantes,1,0,1,2.4,3.1,3.2,15,9,1.57460317460317,6,3.5
308,F1,09/04/2019,Nimes,Rennes,3,1,1,2.7,3.25,2.7,22,21,1.47478991596639,1,-4
309,F1,12/04/2019,Dijon,Amiens,0,0,-1,2.3,3.1,3.4,11,8,1.62153846153846,3,3.5
310,F1,12/04/2019,Nantes,Lyon,2,1,1,3.75,4,1.83,24,22,1.25557461406518,2,1.5
311,F1,13/04/2019,Caen,Angers,0,1,-1,3.1,3,2.55,12,17,1.37837837837838,-5,-2
312,F1,13/04/2019,Marseille,Nimes,2,1,1,1.57,4.33,5.5,27,21,2.42268565615463,6,5.5
313,F1,13/04/2019,Monaco,Reims,0,0,-1,1.9,3.4,4,15,14,1.83783783783784,1,0.5
314,F1,13/04/2019,Strasbourg,Guingamp,3,3,-1,2,3.25,4.2,26,7,1.83221476510067,19,9.5
315,F1,14/04/2019,Lille,Paris SG,5,1,1,4.33,4,1.72,26,34,1.2027972027972,-8,0
316,F1,14/04/2019,Montpellier,Toulouse,2,1,1,1.85,3.4,4.75,24,13,1.98159509202454,11,8
317,F1,14/04/2019,Rennes,Nice,0,0,-1,1.8,3.6,4.5,21,10,2,11,8
318,F1,14/04/2019,St Etienne,Bordeaux,3,0,1,1.72,3.6,5.25,26,8,2.13559322033898,18,8.5
319,F1,17/04/2019,Nantes,Paris SG,3,2,1,4.5,4.2,1.7,26,35,1.21016949152542,-9,-3.5
320,F1,19/04/2019,Dijon,Rennes,3,2,1,2.87,3.3,2.5,11,22,1.42241379310345,-11,-5
321,F1,19/04/2019,Lyon,Angers,2,1,1,1.3,5.5,10,30,18,3.54838709677419,12,9
322,F1,20/04/2019,Guingamp,Marseille,1,3,-1,4,3.6,1.9,13,20,1.24363636363636,-7,-6.5
323,F1,20/04/2019,Nice,Caen,0,1,-1,1.83,3.3,5,13,12,1.98795180722892,1,3
324,F1,20/04/2019,Nimes,Bordeaux,2,1,1,2.15,3.4,3.4,25,8,1.7,17,4.5
325,F1,20/04/2019,Strasbourg,Montpellier,1,3,-1,2.6,3.1,3,29,18,1.52459016393443,11,4.5
326,F1,21/04/2019,Nantes,Amiens,3,2,1,1.95,3.25,4.33,29,8,1.85653034300792,21,12
327,F1,21/04/2019,Paris SG,Monaco,3,1,1,1.5,4.5,6.5,55,16,2.65909090909091,39,22
328,F1,21/04/2019,Reims,St Etienne,0,2,-1,2.5,3.1,3.1,18,19,1.55,-1,1
329,F1,21/04/2019,Toulouse,Lille,0,0,-1,3.75,3.1,2.15,16,23,1.26952380952381,-7,-3
330,F1,26/04/2019,Bordeaux,Lyon,2,3,-1,5.25,3.75,1.7,22,23,1.1697247706422,-1,-4
331,F1,28/04/2019,Amiens,Strasbourg,0,0,-1,2.1,3.1,3.75,18,25,1.6970802919708,-7,-3.5
332,F1,28/04/2019,Angers,Reims,1,1,-1,2.5,3.1,2.9,21,14,1.49833333333333,7,3
333,F1,28/04/2019,Caen,Dijon,1,0,1,2.8,3.1,2.62,12,13,1.41993006993007,-1,1.5
334,F1,28/04/2019,Lille,Nimes,5,0,1,1.5,4,6.5,31,22,2.47619047619048,9,14.5
335,F1,28/04/2019,Marseille,Nantes,1,2,-1,1.5,3.8,7.5,29,9,2.52212389380531,20,9
336,F1,28/04/2019,Nice,Guingamp,3,0,1,2,3.2,4,13,10,1.77777777777778,3,3.5
337,F1,28/04/2019,St Etienne,Toulouse,2,0,1,1.5,4,6.5,29,14,2.47619047619048,15,2
338,F1,30/04/2019,Montpellier,Paris SG,3,2,1,4.33,3.6,1.83,26,37,1.21325966850829,-11,-5.5
339,F1,01/05/2019,Rennes,Monaco,2,2,-1,3.5,3.3,2.15,21,17,1.30183486238532,4,4
340,F1,03/05/2019,Strasbourg,Marseille,1,1,-1,3.8,3.5,2,30,23,1.27272727272727,7,1
341,F1,04/05/2019,Bordeaux,Angers,0,1,-1,2.25,3.1,3.5,24,19,1.64393939393939,5,2
342,F1,04/05/2019,Guingamp,Caen,0,0,-1,1.9,3.3,4.5,14,13,1.90384615384615,1,1.5
343,F1,04/05/2019,Paris SG,Nice,1,1,-1,1.25,6,11,58,10,3.88235294117647,48,26
344,F1,04/05/2019,Reims,Nimes,0,3,-1,1.95,3.5,4,18,22,1.86666666666667,-4,5
345,F1,05/05/2019,Lyon,Lille,2,2,-1,1.66,4,5,32,23,2.22222222222222,9,6
346,F1,05/05/2019,Monaco,St Etienne,2,3,-1,2.4,3.5,2.87,15,21,1.57692307692308,-6,-3.5
347,F1,05/05/2019,Montpellier,Amiens,1,1,-1,1.72,3.75,5,29,10,2.14285714285714,19,10
348,F1,05/05/2019,Nantes,Dijon,3,0,1,1.9,3.5,4.2,32,13,1.90909090909091,19,11
349,F1,05/05/2019,Toulouse,Rennes,2,2,-1,2.3,3.3,3.25,16,24,1.63740458015267,-8,-4
350,F1,10/05/2019,St Etienne,Montpellier,0,1,-1,1.75,3.8,4.75,31,21,2.11111111111111,10,-1
351,F1,11/05/2019,Amiens,Toulouse,0,0,-1,2.3,3.2,3.3,18,14,1.62461538461538,4,2.5
352,F1,11/05/2019,Angers,Paris SG,1,2,-1,6,4.33,1.53,22,39,1.13052901023891,-17,-9
353,F1,11/05/2019,Caen,Reims,3,2,1,2.4,3.1,3.1,13,15,1.55,-2,-1
354,F1,11/05/2019,Dijon,Strasbourg,2,1,1,2.05,3.5,3.6,14,25,1.77464788732394,-11,-4.5
355,F1,11/05/2019,Nice,Nantes,1,1,-1,2.5,3.1,3.1,16,11,1.55,5,3
356,F1,11/05/2019,Nimes,Monaco,1,0,1,3.4,3.8,2.05,27,19,1.33162393162393,8,0
357,F1,12/05/2019,Lille,Bordeaux,1,0,1,1.4,4.75,8,36,9,2.98039215686275,27,16
358,F1,12/05/2019,Marseille,Lyon,0,3,-1,3,3.8,2.2,30,26,1.39333333333333,4,-0.5
359,F1,12/05/2019,Rennes,Guingamp,1,1,-1,1.95,3.5,4,23,10,1.86666666666667,13,7.5
360,F1,18/05/2019,Bordeaux,Reims,0,1,-1,2.37,3.1,3.3,24,17,1.5984375,7,3
361,F1,18/05/2019,Guingamp,Nimes,2,2,-1,2.8,3.4,2.5,14,25,1.44067796610169,-11,-1
362,F1,18/05/2019,Lille,Angers,5,0,1,1.53,4,7,37,20,2.54545454545455,17,11
363,F1,18/05/2019,Lyon,Caen,4,0,1,1.2,7,13,34,13,4.55,21,12.5
364,F1,18/05/2019,Monaco,Amiens,2,0,1,1.61,3.8,6,17,11,2.3265306122449,6,4
365,F1,18/05/2019,Montpellier,Nantes,1,1,-1,1.8,3.8,4.33,30,12,2.02386223862239,18,9
366,F1,18/05/2019,Paris SG,Dijon,4,0,1,1.3,5.5,10,59,13,3.54838709677419,46,25
367,F1,18/05/2019,St Etienne,Nice,3,0,1,1.57,4,6,31,11,2.4,20,26
368,F1,18/05/2019,Strasbourg,Rennes,0,2,-1,2.3,3.3,3.25,31,26,1.63740458015267,5,1.5
369,F1,18/05/2019,Toulouse,Marseille,2,5,-1,3.4,3.3,2.2,18,24,1.32,-6,-4.5
370,F1,24/05/2019,Amiens,Guingamp,2,1,1,1.53,4,6.5,18,11,2.47619047619048,7,4
371,F1,24/05/2019,Angers,St Etienne,1,1,-1,2.62,3.4,2.62,23,24,1.4797342192691,-1,6
372,F1,24/05/2019,Caen,Bordeaux,0,1,-1,1.72,3.6,5.25,16,9,2.13559322033898,7,3
373,F1,24/05/2019,Dijon,Toulouse,2,1,1,1.5,4.5,6,16,14,2.57142857142857,2,1.5
374,F1,24/05/2019,Marseille,Montpellier,1,0,1,1.85,4.2,3.75,30,22,1.9811320754717,8,4.5
375,F1,24/05/2019,Nantes,Strasbourg,0,1,-1,1.65,3.8,5.5,35,26,2.24731182795699,9,4
376,F1,24/05/2019,Nice,Monaco,2,0,1,3.1,3.5,2.25,17,19,1.3695652173913,-2,0
377,F1,24/05/2019,Nimes,Lyon,2,3,-1,3.4,3.8,2,28,29,1.31034482758621,-1,-6.5
378,F1,24/05/2019,Reims,Paris SG,3,1,1,6.5,5,1.45,18,41,1.12403100775194,-23,-10.5
379,F1,24/05/2019,Rennes,Lille,3,1,1,2.62,3.6,2.5,24,25,1.47540983606557,-1,0.5
