,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
151,Brazil,2019,11/10/2019,Sao Paulo,Athletico-PR,0,1,-1,1.71,3.64,5.59,20,22,2.20450704225352,-2
152,Brazil,2019,11/10/2019,Flamengo RJ,Bahia,3,1,1,1.29,5.45,12,39,13,3.74785100286533,26
153,Brazil,2019,11/10/2019,Chapecoense-SC,Gremio,0,1,-1,6.36,3.99,1.58,12,21,1.13181328545781,-9
154,Brazil,2019,11/10/2019,CSA,Vasco,0,3,-1,3.05,3.03,2.65,15,11,1.41364436619718,4
155,Brazil,2019,11/10/2019,Fortaleza,Ceara,1,0,1,3.07,3.08,2.6,18,11,1.40985915492958,7
156,Brazil,2019,11/11/2019,Botafogo RJ,Avai,2,0,1,1.72,3.73,5.28,15,7,2.18583795782464,8
157,Brazil,2019,11/14/2019,Flamengo RJ,Vasco,4,4,-1,1.38,4.85,8.53,42,14,3.09196562032885,28
158,Brazil,2019,11/16/2019,Santos,Sao Paulo,1,1,-1,2.02,3.19,4.34,33,12,1.83859229747676,21
159,Brazil,2019,11/16/2019,Fluminense,Atletico-MG,1,1,-1,2.25,3.39,3.33,16,14,1.67986607142857,2
160,Brazil,2019,11/17/2019,Bahia,Palmeiras,1,1,-1,4.72,3.32,1.9,21,18,1.20842911877395,3
161,Brazil,2019,11/17/2019,Gremio,Flamengo RJ,0,1,-1,1.97,3.6,3.97,33,26,1.88797886393659,7
162,Brazil,2019,11/17/2019,Athletico-PR,Botafogo RJ,1,0,1,1.38,4.69,9.05,22,11,3.08911935953421,11
163,Brazil,2019,11/17/2019,Chapecoense-SC,Ceara,1,0,1,3.18,3.2,2.42,12,11,1.3779359430605,1
164,Brazil,2019,11/17/2019,Corinthians,Internacional,0,0,-1,2.51,3.03,3.22,21,14,1.561056,7
165,Brazil,2019,11/17/2019,Fortaleza,CSA,3,0,1,1.64,3.62,6.35,19,6,2.30561685055165,13
166,Brazil,2019,11/18/2019,Vasco,Goias,1,1,-1,1.52,4.06,7.14,17,11,2.58825,6
167,Brazil,2019,11/18/2019,Cruzeiro,Avai,0,0,-1,1.29,5.08,12.94,13,7,3.64790233074362,6
168,Brazil,2019,11/24/2019,Santos,Cruzeiro,4,1,1,1.87,3.57,4.44,34,13,1.97887640449438,21
169,Brazil,2019,11/24/2019,Atletico-MG,Athletico-PR,0,1,-1,2,3.66,3.77,24,23,1.85709286675639,1
170,Brazil,2019,11/24/2019,Goias,Bahia,4,3,1,2.5,3.24,3.03,23,14,1.56574162679426,9
