Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
E0,11/11/2018,Arsenal,Wolves,1,1,D,1.66,4.2,5.25,42,19,2.33333333333333,23
E0,11/11/2018,Chelsea,Everton,0,0,D,1.4,5.25,8.5,39,24,3.24545454545455,15
E0,11/11/2018,Liverpool,Fulham,2,0,H,1.11,11,26,55,12,7.72972972972973,43
E0,11/11/2018,Man City,Man United,3,1,H,1.4,5.25,8.5,57,32,3.24545454545455,25
E0,24/11/2018,Brighton,Leicester,1,1,D,2.9,3.4,2.6,19,27,1.47333333333333,-8
E0,24/11/2018,Everton,Cardiff,1,0,H,1.4,5,9,30,13,3.21428571428571,17
E0,24/11/2018,Fulham,Southampton,3,2,H,2.62,3.5,2.8,22,18,1.55555555555556,4
E0,24/11/2018,Man United,Crystal Palace,0,0,D,1.4,5.25,8,33,32,3.16981132075472,1
E0,24/11/2018,Tottenham,Chelsea,3,1,H,2.8,3.5,2.6,34,24,1.49180327868852,10
E0,24/11/2018,Watford,Liverpool,0,3,A,6.5,4.33,1.55,26,34,1.14141156462585,-8
E0,24/11/2018,West Ham,Man City,0,4,A,13,6.5,1.25,32,38,1.04838709677419,-6
E0,25/11/2018,Bournemouth,Arsenal,1,2,A,3.5,3.75,1.95,30,31,1.28289473684211,-1
E0,25/11/2018,Wolves,Huddersfield,0,2,A,1.5,4.33,8,28,12,2.80940794809408,16
E0,26/11/2018,Burnley,Newcastle,1,2,A,2.9,3.2,2.75,24,18,1.47899159663866,6
E0,30/11/2018,Cardiff,Wolves,2,1,H,3.8,3.25,2.2,21,19,1.31192660550459,2
E0,01/12/2018,Crystal Palace,Burnley,2,0,H,1.61,3.9,6.5,19,21,2.4375,-2
E0,01/12/2018,Huddersfield,Brighton,1,2,A,2.5,3,3.4,10,16,1.59375,-6
E0,01/12/2018,Leicester,Watford,2,0,H,2.25,3.3,3.6,24,26,1.72173913043478,-2
E0,01/12/2018,Man City,Bournemouth,3,1,H,1.11,11,26,57,26,7.72972972972973,31
E0,01/12/2018,Newcastle,West Ham,0,3,A,2.5,3.3,3.1,24,20,1.5984375,4
E0,01/12/2018,Southampton,Man United,2,2,D,4.33,3.6,1.95,27,32,1.26486486486486,-5
E0,02/12/2018,Arsenal,Tottenham,4,2,H,2.62,3.6,2.75,42,33,1.55905511811024,9
E0,02/12/2018,Chelsea,Fulham,2,0,H,1.18,8,17,39,12,5.44,27
E0,02/12/2018,Liverpool,Everton,1,0,H,1.4,5,9,55,24,3.21428571428571,31
E0,04/12/2018,Bournemouth,Huddersfield,2,1,H,1.66,3.8,6,30,12,2.3265306122449,18
E0,04/12/2018,Brighton,Crystal Palace,3,1,H,3,3.1,2.7,19,32,1.44310344827586,-13
E0,04/12/2018,Watford,Man City,1,2,A,11,6,1.3,26,38,1.06849315068493,-12
E0,04/12/2018,West Ham,Cardiff,3,1,H,1.66,4,5.75,32,13,2.35897435897436,19
E0,05/12/2018,Burnley,Liverpool,1,3,A,14,5.75,1.28,24,34,1.04694167852063,-10
E0,05/12/2018,Everton,Newcastle,1,1,D,1.6,4,6.5,30,18,2.47619047619048,12
E0,05/12/2018,Fulham,Leicester,1,1,D,3,3.5,2.45,22,27,1.44117647058824,-5
E0,05/12/2018,Man United,Arsenal,2,2,D,2.45,3.5,3,33,31,1.61538461538462,2
E0,05/12/2018,Tottenham,Southampton,3,1,H,1.36,5.25,9.5,34,18,3.38135593220339,16
E0,05/12/2018,Wolves,Chelsea,2,1,H,5,3.75,1.8,28,24,1.21621621621622,4
E0,08/12/2018,Arsenal,Huddersfield,1,0,H,1.28,6,12,42,12,4,30
E0,08/12/2018,Bournemouth,Liverpool,0,4,A,5.75,4.5,1.6,30,34,1.18032786885246,-4
E0,08/12/2018,Burnley,Brighton,1,0,H,2.9,3.2,2.75,24,16,1.47899159663866,8
E0,08/12/2018,Cardiff,Southampton,1,0,H,2.9,3.25,2.7,21,18,1.47478991596639,3
