,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
140,F1,30/11/2018,St Etienne,Nantes,3,0,H,2.04,3.4,3.75,13,8,1.78321678321678,5
141,F1,01/12/2018,Angers,Caen,1,1,D,1.72,3.75,5,8,4,2.14285714285714,4
142,F1,01/12/2018,Guingamp,Nice,0,0,D,2.7,3.2,2.75,7,7,1.47899159663866,0
143,F1,01/12/2018,Lille,Lyon,2,2,D,2.75,3.3,2.6,15,11,1.45423728813559,4
144,F1,01/12/2018,Monaco,Montpellier,1,2,A,2.54,3.3,2.8,6,9,1.51475409836066,-3
145,F1,01/12/2018,Nimes,Amiens,3,0,H,1.9,3.6,4.2,6,2,1.93846153846154,4
146,F1,02/12/2018,Bordeaux,Paris SG,2,2,D,10,5.5,1.28,9,19,1.03834808259587,-10
147,F1,02/12/2018,Marseille,Reims,0,0,D,1.4,4.75,7.5,17,5,2.90816326530612,12
148,F1,02/12/2018,Rennes,Strasbourg,1,4,A,1.7,3.75,5,6,8,2.14285714285714,-2
149,F1,02/12/2018,Toulouse,Dijon,2,2,D,2,3.4,3.75,7,8,1.78321678321678,-1
150,F1,04/12/2018,Amiens,Monaco,0,2,A,2.9,3.3,2.45,12,7,1.40608695652174,5
151,F1,04/12/2018,Montpellier,Lille,0,1,A,2.1,3.2,3.75,13,6,1.72661870503597,7
152,F1,04/12/2018,Nice,Angers,0,0,D,2,3.2,4.2,5,10,1.81621621621622,-5
153,F1,05/12/2018,Bordeaux,St Etienne,3,2,H,2.5,3.1,3.1,11,6,1.55,5
154,F1,05/12/2018,Caen,Nimes,1,2,A,2.8,3.1,2.75,7,13,1.45726495726496,-6
155,F1,05/12/2018,Dijon,Guingamp,2,1,H,2.25,3.25,3.4,4,3,1.66165413533835,1
156,F1,05/12/2018,Lyon,Rennes,0,2,A,1.53,4.2,6.5,13,12,2.55140186915888,1
157,F1,05/12/2018,Nantes,Marseille,3,2,H,3.1,3.3,2.35,13,10,1.37256637168142,3
158,F1,05/12/2018,Reims,Toulouse,0,1,A,1.95,3.2,4.5,5,4,1.87012987012987,1
159,F1,05/12/2018,Strasbourg,Paris SG,1,1,D,8,5.75,1.33,12,21,1.08015536723164,-9
160,F1,08/12/2018,Guingamp,Amiens,1,2,A,2,3.2,4.2,7,2,1.81621621621622,5
161,F1,08/12/2018,Rennes,Dijon,2,0,H,1.57,3.8,6.5,7,10,2.39805825242718,-3
162,F1,09/12/2018,Lille,Reims,1,1,D,1.8,3.4,5,17,5,2.02380952380952,12
163,F1,09/12/2018,Strasbourg,Caen,2,2,D,1.75,3.5,5.25,13,5,2.1,8
164,F1,15/12/2018,Reims,Strasbourg,2,1,H,2.25,3.1,3.5,5,12,1.64393939393939,-7
165,F1,16/12/2018,Lyon,Monaco,3,0,H,1.44,4.75,7,13,9,2.82978723404255,4
166,F1,16/12/2018,Nice,St Etienne,1,1,D,2.25,3.1,3.5,5,8,1.64393939393939,-3
167,F1,16/12/2018,Nimes,Lille,2,3,A,2.5,3,3.2,9,7,1.54838709677419,2
168,F1,18/12/2018,Caen,Toulouse,2,1,H,2.5,3.1,3.1,8,5,1.55,3
169,F1,22/12/2018,Angers,Marseille,1,1,D,3.75,3.4,2.04,9,12,1.275,-3
170,F1,22/12/2018,Lille,Toulouse,1,2,A,1.72,3.5,5.5,18,6,2.13888888888889,12
171,F1,22/12/2018,Monaco,Guingamp,0,2,A,1.9,3.5,4.33,7,4,1.93550446998723,3
172,F1,22/12/2018,Montpellier,Lyon,1,1,D,3.3,3.3,2.25,13,13,1.33783783783784,0
173,F1,22/12/2018,Paris SG,Nantes,1,0,H,1.14,9,15,27,8,5.625,19
174,F1,22/12/2018,Reims,Caen,2,2,D,1.8,3.5,4.75,7,7,2.01515151515152,0
