Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,24/11/2018,19,14,2,2,D,2.25,3.4,3.25,,,1.66165413533835
SP1,24/11/2018,3,17,3,0,H,1.44,4.5,7.5,,,2.8125
SP1,25/11/2018,7,4,1,1,D,2.04,3.3,3.9,,,1.7875
SP1,25/11/2018,6,18,1,3,A,1.66,3.6,5.75,,,2.21390374331551
SP1,25/11/2018,5,15,1,0,H,1.4,4.75,8,,,2.98039215686275
SP1,25/11/2018,13,9,2,1,H,2.14,3.4,3.4,,,1.7
SP1,26/11/2018,8,16,2,1,H,1.85,3.75,4.2,,,1.9811320754717
SP1,30/11/2018,17,11,1,0,H,3.1,3.3,2.3,,,1.35535714285714
SP1,01/12/2018,16,19,2,0,H,1.64,4,5,,,2.22222222222222
SP1,01/12/2018,4,6,3,0,H,2.4,2.87,3.4,,,1.55629984051037
SP1,01/12/2018,1,3,2,0,H,1.44,4.75,7,,,2.82978723404255
SP1,01/12/2018,15,12,2,4,A,2.37,3.1,3.3,,,1.5984375
SP1,02/12/2018,10,5,1,1,D,3.6,3.6,2,,,1.28571428571429
SP1,02/12/2018,0,13,2,0,H,1.25,6.5,11,,,4.08571428571429
SP1,02/12/2018,9,8,1,0,H,2.2,3.3,3.4,,,1.67462686567164
SP1,02/12/2018,18,2,1,1,D,5.5,3.4,1.75,,,1.15533980582524
SP1,03/12/2018,14,7,3,0,H,2.75,3.4,2.54,,,1.45387205387205
SP1,07/12/2018,12,4,1,1,D,2.62,2.9,3,,,1.47457627118644
SP1,08/12/2018,2,10,3,0,H,1.36,4.5,10,,,3.10344827586207
SP1,08/12/2018,6,0,0,4,A,6.5,4.33,1.5,,,1.11406518010292
SP1,08/12/2018,3,5,1,1,D,2.2,3.5,3.2,,,1.67164179104478
SP1,08/12/2018,13,16,2,3,A,1.72,3.8,4.75,,,2.11111111111111
SP1,09/12/2018,9,17,2,0,H,1.53,4.33,6,,,2.51500484027106
SP1,09/12/2018,11,14,4,4,D,1.75,3.8,4.5,,,2.06024096385542
SP1,09/12/2018,19,1,0,1,A,10,5.5,1.3,,,1.05147058823529
SP1,09/12/2018,8,15,1,2,A,1.61,3.6,6.5,,,2.31683168316832
SP1,10/12/2018,7,18,1,0,H,1.95,3.4,4,,,1.83783783783784
SP1,14/12/2018,16,12,0,0,D,1.85,3.5,4.33,,,1.93550446998723
SP1,15/12/2018,11,3,1,1,D,2.7,3.2,2.7,,,1.46440677966102
SP1,15/12/2018,4,8,1,0,H,2.25,3.1,3.5,,,1.64393939393939
SP1,15/12/2018,1,17,1,0,H,1.14,9,15,,,5.625
SP1,15/12/2018,15,2,2,3,A,5.75,3.4,1.72,,,1.1421875
SP1,16/12/2018,6,9,1,3,A,2.4,3.3,3,,,1.57142857142857
SP1,16/12/2018,19,13,2,2,D,3.5,3.2,2.14,,,1.28239700374532
SP1,16/12/2018,14,0,0,5,A,9,6.5,1.25,,,1.04838709677419
SP1,16/12/2018,5,18,2,0,H,1.44,4.5,7,,,2.73913043478261
SP1,17/12/2018,10,7,0,0,D,3,3.2,2.5,,,1.40350877192982
SP1,21/12/2018,18,4,1,1,D,2.62,3,2.9,,,1.47457627118644
SP1,21/12/2018,8,10,0,1,A,1.75,3.5,5,,,2.05882352941176
SP1,22/12/2018,7,15,1,1,D,1.75,3.4,5,,,2.02380952380952
SP1,22/12/2018,2,6,1,0,H,1.4,4,10,,,2.85714285714286
SP1,22/12/2018,0,16,2,0,H,1.12,9,21,,,6.3
SP1,22/12/2018,9,11,1,1,D,1.8,3.75,4.5,,,2.04545454545455
SP1,23/12/2018,12,5,1,1,D,3.4,3.2,2.25,,,1.32110091743119
SP1,23/12/2018,3,19,2,1,H,1.4,4.75,8,,,2.98039215686275
SP1,23/12/2018,17,14,2,1,H,2.1,3.6,3.4,,,1.74857142857143
SP1,03/01/2019,13,1,2,2,D,3.8,3.8,1.85,,,1.24424778761062
SP1,04/01/2019,6,12,1,0,H,2,3.3,4.2,,,1.848
SP1,04/01/2019,14,18,2,2,D,2.15,3.5,3.3,,,1.69852941176471
SP1,05/01/2019,10,3,2,1,H,3.1,3.1,2.4,,,1.35272727272727
SP1,05/01/2019,19,9,2,1,H,3.2,3.5,2.2,,,1.35087719298246
SP1,05/01/2019,15,17,0,1,A,2.1,3.4,3.6,,,1.74857142857143
SP1,06/01/2019,11,13,0,0,D,2.1,3.25,3.5,,,1.68518518518519
SP1,06/01/2019,4,0,1,2,A,8,5.25,1.36,,,1.08018154311649
SP1,06/01/2019,1,8,0,2,A,1.33,6,7.5,,,3.33333333333333
SP1,06/01/2019,5,2,1,1,D,2.8,3.1,2.7,,,1.44310344827586
SP1,07/01/2019,16,7,1,2,A,2.4,3.3,3,,,1.57142857142857
SP1,11/01/2019,17,16,4,2,H,2.5,3.4,2.8,,,1.53548387096774
SP1,12/01/2019,18,10,1,1,D,2.1,3.1,4,,,1.74647887323944
SP1,12/01/2019,12,19,1,0,H,1.95,3.25,4.33,,,1.85653034300792
SP1,12/01/2019,3,15,1,1,D,1.53,4,7,,,2.54545454545455
SP1,12/01/2019,13,4,1,2,A,2.15,3.1,3.8,,,1.70724637681159
SP1,13/01/2019,7,5,2,0,H,2.75,3.2,2.7,,,1.46440677966102
SP1,13/01/2019,2,14,1,0,H,1.25,6,12,,,4
SP1,13/01/2019,0,11,3,0,H,1.12,9,21,,,6.3
SP1,13/01/2019,9,1,1,2,A,3.25,3.75,2.1,,,1.34615384615385
SP1,14/01/2019,8,6,3,2,H,2,3.3,4,,,1.80821917808219
SP1,18/01/2019,4,10,4,0,H,2,3.1,4.5,,,1.83552631578947
